Year,CO2,Energy,GDP,Earthquakes,Temperature,Decade,CO2_per_capita,World_CO2,Scaled_CO2,Scaled_Temp
1999,0.863,0.0,0.0,0.0,24.87,1990,0.006849206349206349,0.863,0.1560621535333373,0.48180275977579157
2000,0.85,394.98401446213,468395521654.458,0.0,24.81,2000,0.0067460317460317455,0.85,0.1287220671710264,0.312544912940056
2001,0.842,393.447140041734,485440139204.171,1.0,24.93,2000,0.006682539682539682,0.842,0.11189739864037355,0.6510606066115171
2002,0.841,397.345623867375,514939140318.756,1.0,25.2,2000,0.006674603174603174,0.841,0.10979431507404194,1.412720917372297
2003,0.873,399.700175164457,607700687237.318,0.0,24.94,2000,0.006928571428571429,0.873,0.17709298919665337,0.6792702477508097
2004,0.906,415.479367789798,709152728830.775,1.0,25.02,2000,0.007190476190476191,0.906,0.24649474688559642,0.9049473768651104
2005,0.944,425.369146084358,820383763511.445,1.0,24.77,2000,0.007492063492063492,0.944,0.32641192240619726,0.19970634838290566
2006,0.977,441.786253247166,940259888787.721,0.0,25.03,2000,0.0077539682539682535,0.977,0.39581368009514034,0.933157018004403
2007,1.06,461.202500518337,1216736438834.96,0.0,25.06,2000,0.008412698412698413,1.06,0.5703696161006637,1.0177859414222608
2008,1.12,481.55314607601,1198895139005.92,0.0,24.82,2000,0.008888888888888889,1.12,0.6965546300805602,0.3407545540793486
2009,1.24,509.44773467983,1341888016994.9,0.0,25.57,2000,0.009841269841269842,1.24,0.9489246580403526,2.456477639525963
2010,1.26,531.870869241592,1675615519484.96,0.0,25.5,2010,0.01,1.26,0.9909863293669847,2.2590101515509446
2011,1.3,547.48026530693,1823051829894.55,1.0,24.88,2010,0.010317460317460317,1.3,1.075109672020249,0.5100124009150742
2012,1.42,570.950039689589,1827637590410.41,0.0,24.84,2010,0.01126984126984127,1.42,1.3274796999800413,0.3971738363579238
2013,1.4,576.89142121313,1856721507621.58,1.0,24.71,2010,0.01111111111111111,1.4,1.2854180286534094,0.030448501547180123
2014,1.52,609.769630211591,2039126479154.52,0.0,24.86,2010,0.012063492063492064,1.52,1.5377880566132023,0.453593118636499
2015,1.6,621.233101872706,2103588360044.94,2.0,24.98,2010,0.012698412698412698,1.6,1.7060347419197308,0.79210881230796
2016,1.64,625.339936484507,2294796885663.16,1.0,25.36,2010,0.013015873015873015,1.64,1.7901580845729945,1.8640751756009084
2017,1.68,647.961983314095,2651474262755.45,0.0,25.23,2010,0.013333333333333332,1.68,1.874281427226259,1.4973498407901649
2018,1.77,671.520649189685,2702929641648.74,0.0,25.1,2010,0.014047619047619048,1.77,2.0635589481961034,1.130624505979421
2019,1.77,665.57468725444,2835606256558.19,0.0,25.03,2010,0.014047619047619048,1.77,2.0635589481961034,0.933157018004403
2020,1.62,624.86144636956,2674851578587.27,0.0,24.87,2020,0.012857142857142859,1.62,1.748096413246363,0.48180275977579157
2021,1.77,675.282775662932,3167270623260.47,1.0,25.07,2020,0.014047619047619048,1.77,2.0635589481961034,1.0459955825615534
2022,1.87,712.242532438078,3346107287730.93,0.0,25.18,2020,0.014841269841269843,1.87,2.273867304829264,1.3563016350937218
